"","FOLIO","id_hogar","g.alimentos","g.vestimenta","g.cuentas","g.hogar","g.salud","g.transporte","g.comunicaciones","g.recreacion","g.educacion","g.restaurantes","total_expenses","savings","n_personas","macrozona","quintil","n_menores_0_4","n_menores_5_14","n_trabajadores","edad_promedio","n_profesionales","income_person_week","ingreso_hogar","n_personas_cut","n_menores_0_4_cut","n_menores_5_14_cut","n_trabajadores_cut","n_profesionales_cut"
"67","00066-2",67,19.1590243902439,12.7237539766702,25.8036585365854,2.73170731707317,0.565365853658537,4.57560975609756,17.2216118769883,1.58048780487805,10.0813008130081,0.634146341463415,95.0766666666667,101.752601626016,1,"regiones",3,0,0,1,25,1,196.829268292683,196.829268292683,1,0,0,1,1
"68","00067-1",68,9.64926829268293,26.7392717282567,12.0699650174784,6.30965005302227,10.3032873806999,41.8699190167683,26.2651113467656,5.08130097179878,27.0325203252033,0,165.320294132676,99.5093205014702,3,"regiones",4,0,2,1,18.6666666666667,0,88.2765382113821,264.829614634146,3,0,3,1,0
"69","00068-1",69,73.9341463414634,21.695702661388,53.7650186876659,3.07038327526132,46.1156794425087,28.1034684023418,18.2926829268293,10.2934959151105,0.609756097560976,15.3225950229045,271.202928773034,147.965604560299,4,"regiones",4,1,1,2,17.25,2,104.792133333333,419.168533333333,4,1,1,2,3
"70","00069-1",70,92.8818603962224,14.9272180486459,171.253658536585,3.1739480032163,26.3427954413938,42.0066671133744,19.6662591914978,13.6322463668872,79.2682926829268,35.3651655274746,498.518111308225,-176.040062527737,5,"metropolitana",4,1,1,0,25,0,64.4956097560976,322.478048780488,5,1,1,0,0
"71","00070-1",71,65.9931402885623,2.63689024390244,34.9861756538405,2.72281922325555,26.0395272008384,26.463831508213,0.472560975609756,12.5608231707317,0,4.34273892483823,176.218507189792,53.0962713467934,3,"regiones",3,0,0,1,53.6666666666667,0,76.4382595121951,229.314778536585,3,0,0,1,0
"72","00071-1",72,14.4191768153072,8.10658449228696,24.3847967678163,25.9678487251902,12.8849970318363,2.55056917516197,14.4691056116616,10.2707721405074,0,11.9994758504291,125.053326610197,33.805941682486,1,"regiones",2,0,0,0,69,1,158.859268292683,158.859268292683,1,0,0,0,1
"73","00072-1",73,40.3453664193502,33.6770945582789,51.7439430894309,51.9125683060109,37.7939200337189,28.1300809832317,24.3960282553645,10.4167550371156,7.52032520325203,8.0599174457821,293.995999331536,-1.84563347787727,3,"metropolitana",4,1,1,1,14,0,97.3834552845529,292.150365853659,3,1,1,1,0
"74","00073-1",74,36.3021341463415,25.342049941928,4.69949972700223,2.60381097560976,2.1265243902439,5.59763956930654,6.85213414634146,4.45701219512195,0,5.90701219512195,93.8878172870172,-6.0063538723831,2,"regiones",1,0,0,1,37,0,43.9407317073171,87.8814634146342,2,0,0,1,0
"75","00074-1",75,77.767659138005,4.68614312516752,114.048780487805,11.7366972624869,10.1311535582367,28.2235107744012,32.8149168616629,15.4217815499573,0,5.53967487614329,300.370317633866,-78.9069029997194,4,"metropolitana",3,0,0,0,21.5,1,55.3658536585366,221.463414634146,4,0,0,0,1
"76","00075-1",76,75.5931707317073,7.16484623541888,14.4043347600607,12.1410816542948,25.2155037115589,34.3266171792153,23.4350477200424,0.975609756097561,0.40650406504065,10.1951219512195,203.857837764656,130.36573950262,4,"metropolitana",4,0,0,2,29.75,0,83.5558943168191,334.223577267276,4,0,0,2,0
"77","00076-1",77,86.1014633550877,4.15261324041812,48.0354936095979,7.38048780487805,75.6794425087108,19.0243902439024,14.6341463414634,6.34146341463415,0,8.80975609756098,270.159256616253,213.487084847161,3,"metropolitana",5,0,0,1,49.6666666666667,1,161.215447154472,483.646341463415,3,0,0,1,1
"78","00077-1",78,86.5040648223133,7.80652729384437,168.683606696694,6.9186992663872,8.06504096798781,28.8853658834318,24.390243902439,19.6081299225102,0,9.02276391006098,359.884442665669,40.1155573343313,3,"regiones",4,0,0,0,48,1,133.333333333333,400,3,0,0,0,1
"79","00078-1",79,26.2607805205555,0,8.33333332340892,1.89528454292111,10.8215564290932,15.1660861649109,14.2113821932165,0,0,0,76.688423174106,57.2140158502842,3,"regiones",2,0,0,2,42,0,44.6341463414634,133.90243902439,3,0,0,2,0
"80","00079-1",80,121.731166670826,14.3457222261537,219.805099814617,23.2516096869746,49.6657538411226,36.0231954749211,4.3761862203676,8.55474054180735,5.36879933693143,19.2937776443712,502.416051458093,12.7842330947528,2,"regiones",5,0,0,1,55,2,257.600142276423,515.200284552846,2,0,0,1,3
"81","00080-1",81,50.6925339839687,45.0482649763547,86.4951196221429,35.0380177913455,23.09484666313,23.4291630869863,21.9636220965156,47.786624583832,102.642276422764,3.20392529690538,439.394394523945,-205.793950621506,3,"regiones",3,0,1,1,29.3333333333333,0,77.8668146341464,233.600443902439,3,0,1,1,0
"82","00081-1",82,47.9335423297344,3.29597749012381,49.0839447765655,9.89262413195861,5.73395093690197,1.86678321935572,8.53880818241416,1.26193116545442,0,1.74163344038942,129.349195672898,6.81159701002881,3,"regiones",2,0,1,2,31.6666666666667,0,45.3869308943089,136.160792682927,3,0,1,2,0
"83","00082-1",83,101.47512195122,0,47.410912626284,20.1085774421196,10.5268292682927,1.95121951219512,1.46341463414634,0,0,0,182.936075434257,-97.5702217757207,2,"metropolitana",1,0,0,1,57.5,0,42.6829268292683,85.3658536585366,2,0,0,1,0
"84","00083-1",84,46.594512195122,3.54014225657393,7.79170731707317,1.14127933732168,0.519817073170732,28.4954268292683,0.472560975609756,3.02439024390244,0.040650406504065,55.1478658536585,146.768352488205,-55.0740435451151,6,"regiones",1,0,2,2,26,0,15.2823848238482,91.6943089430894,6,0,3,2,0
"85","00084-1",85,60.4921951219512,21.92135855938,30.6286209829268,11.7523397475181,1.21951219512195,0.819512195121951,7.38387057237407,32.095752526022,0,10.1973281039343,176.51049000435,-44.3751478775211,2,"regiones",2,0,0,2,58,0,66.0676710634146,132.135342126829,2,0,0,2,0
"86","00085-1",86,37.9486532343584,5.09013785790032,26.2019766597145,1.8819512195122,7.21302226935313,14.1834570519618,18.3796394485684,12.4876988335101,40.650406504065,13.0449628844115,177.081905963355,214.103157451279,2,"metropolitana",4,0,0,2,31,1,195.592531707317,391.185063414634,2,0,0,2,1
"87","00086-1",87,64.1155607791063,10.2237539766702,57.6315448742378,5.87020924963348,7.31398371998857,8.16585374041302,9.15153942394396,31.9829267101753,138.639512195122,7.15268286728277,340.247567536573,-197.612872414622,3,"regiones",2,0,0,2,25.3333333333333,0,47.5448983739837,142.634695121951,3,0,0,2,0
"88","00087-1",88,80.1871717797256,8.72420262664165,101.1297721426,212.084852077867,79.0717415844445,180.74078443772,67.4116326802612,339.233485656243,0,201.016187898213,1269.59983088372,-500.84373332274,2,"regiones",5,0,0,0,60,1,384.378048780488,768.756097560976,2,0,0,0,1
"89","00088-1",89,65.7295148711607,7.89611230822022,20.1485200247022,8.21638480157794,17.6071696910843,34.316630999593,14.4491325059678,10.3452849295699,32.7235772357724,9.94765261260734,221.379979980256,-171.867784858305,5,"metropolitana",1,1,1,1,20.8,0,9.90243902439025,49.5121951219512,5,1,1,1,0
"90","00089-1",90,5.21234756097561,3.94013123011665,69.0716041793232,30.9501391834571,23.3561923382821,23.4314024390244,14.8756097560976,0.821845174973489,0,0,171.65927186225,60.0480452109207,2,"metropolitana",3,0,0,0,70,0,231.707317073171,231.707317073171,2,0,0,0,0
